PROJECT	proj_capacity_limit_mw
Oahu_CentralPV_514_na	14.81794756
Oahu_CentralPV_515_na	15.21330397
Oahu_CentralPV_516_na	5.848942427
Oahu_CentralPV_517_na	5.810241096
Oahu_CentralPV_518_na	11.75684697
Oahu_CentralPV_519_na	28.58763726
Oahu_CentralPV_520_na	31.96664046
Oahu_CentralPV_521_na	0.036
Oahu_CentralPV_522_na	3.58595208
Oahu_CentralPV_523_na	23.97360683
Oahu_CentralPV_524_na	27.33333699
Oahu_CentralPV_525_na	17.11117212
Oahu_CentralPV_526_na	1.992844747
Oahu_CentralPV_527_na	0.671853757
Oahu_CentralPV_528_na	46.59890658
Oahu_CentralPV_529_na	18.40241567
Oahu_CentralPV_530_na	38.76098889
Oahu_CentralPV_531_na	17.91140296
Oahu_CentralPV_532_na	2.340531198
Oahu_CentralPV_533_na	7.716490044
Oahu_CentralPV_534_na	5.238673269
Oahu_CentralPV_535_na	18.05830176
Oahu_CentralPV_536_na	53.47663819
Oahu_CentralPV_537_na	36.36850715
Oahu_CentralPV_538_na	10.33967721
Oahu_CentralPV_539_na	6.607824435
Oahu_CentralPV_540_na	0.716447116
Oahu_CentralPV_541_na	4.024547141
Oahu_CentralPV_542_na	6.97414095
Oahu_CentralPV_543_na	45.28880783
Oahu_CentralPV_544_na	8.586443536
Oahu_CentralPV_545_na	26.94672971
Oahu_CentralPV_546_na	18.8245773
Oahu_CentralPV_547_na	14.87891399
Oahu_CentralPV_548_na	5.446296045
Oahu_CentralPV_549_na	1.015357575
Oahu_CentralPV_550_na	2.789313858
Oahu_CentralPV_551_na	0.041659785
Oahu_CentralPV_552_na	0.514578915
Oahu_CentralPV_553_na	5.352151645
Oahu_CentralPV_554_na	7.217782878
Oahu_CentralPV_555_na	20.19749487
Oahu_CentralPV_556_na	57.83538298
Oahu_CentralPV_557_na	69.19627558
Oahu_CentralPV_558_na	73.44862891
Oahu_CentralPV_559_na	50.20155004
Oahu_CentralPV_560_na	1.026
Oahu_CentralPV_561_na	0.519793735
Oahu_CentralPV_562_na	3.030847552
Oahu_CentralPV_563_na	11.87644108
Oahu_CentralPV_564_na	2.48331375
Oahu_CentralPV_565_na	0.122442975
Oahu_CentralPV_566_na	3.798736965
Oahu_CentralPV_567_na	0.054886635
Oahu_CentralPV_568_na	0.757304955
Oahu_CentralPV_569_na	1.661665995
Oahu_CentralPV_570_na	8.686542375
Oahu_CentralPV_571_na	29.00355805
Oahu_CentralPV_572_na	26.88316
Oahu_CentralPV_573_na	86.46590824
Oahu_CentralPV_574_na	86.76532264
Oahu_CentralPV_575_na	60.01115391
Oahu_CentralPV_576_na	1.125165768
Oahu_CentralPV_577_na	0.13488921
Oahu_CentralPV_578_na	0.115340605
Oahu_CentralPV_579_na	6.092957317
Oahu_CentralPV_580_na	0.272876826
Oahu_CentralPV_581_na	0.289624725
Oahu_CentralPV_582_na	1.24053399
Oahu_CentralPV_583_na	8.668086435
Oahu_CentralPV_584_na	14.15975382
Oahu_CentralPV_585_na	46.94523756
Oahu_CentralPV_586_na	29.97258735
Oahu_CentralPV_587_na	52.60203056
Oahu_CentralPV_588_na	25.83012547
Oahu_CentralPV_589_na	1.160306956
Oahu_CentralPV_590_na	4.761
Oahu_CentralPV_591_na	0.27911079
Oahu_CentralPV_592_na	0.572351935
Oahu_CentralPV_593_na	0.100840907
Oahu_CentralPV_594_na	0.495
Oahu_CentralPV_595_na	1.554747335
Oahu_CentralPV_596_na	32.19075689
Oahu_CentralPV_597_na	43.9229015
Oahu_CentralPV_598_na	69.75277006
Oahu_CentralPV_599_na	40.73016627
Oahu_CentralPV_600_na	23.09311909
Oahu_CentralPV_601_na	0.009167788
Oahu_CentralPV_602_na	0.288
Oahu_CentralPV_603_na	1.7455392
Oahu_CentralPV_604_na	27.23957825
Oahu_CentralPV_605_na	31.76007697
Oahu_CentralPV_606_na	40.85929498
Oahu_CentralPV_607_na	12.05779055
Oahu_CentralPV_608_na	0.00973368
Oahu_CentralPV_609_na	15.58221723
Oahu_CentralPV_610_na	18.26598321
Oahu_CentralPV_611_na	31.25179836
Oahu_CentralPV_612_na	2.571919425
Oahu_CentralPV_613_na	3.258430965
Oahu_CentralPV_614_na	5.78971107
Oahu_CentralPV_615_na	8.04858615
Oahu_CentralPV_616_na	4.763080575
Oahu_CentralPV_617_na	0.17174304
Oahu_CentralPV_618_na	31.81089866
Oahu_CentralPV_619_na	53.09696038
Oahu_CentralPV_620_na	2.2730751
